,id,locality,type_of_property,subtype_of_property,price,type_of_sale,nr_of_rooms,area,equiped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,total_land_area,nr_of_facades,swimming_pool,building_condition,Localité,Commune principale,Province,Region
5084,8942337,4500,1,2,69000.0,0,2.0,45.0,3,False,False,True,74.0,True,45.0,187.0,3.0,False,5,HUY,HUY,Liège,b'Wallonie'
5085,8903332,4100,1,2,77000.0,0,3.0,130.0,3,False,False,False,0.0,False,0.0,90.0,2.0,False,4,SERAING,SERAING,Liège,b'Wallonie'
5086,8903332,4100,1,2,77000.0,0,3.0,130.0,3,False,False,False,0.0,False,0.0,90.0,2.0,False,4,Boncelles,SERAING,Liège,b'Wallonie'
5087,8844532,4032,1,2,98500.0,0,2.0,110.0,3,False,False,True,0.0,False,0.0,100.0,2.0,False,4,Chênée,LIÈGE,Liège,b'Wallonie'
5088,8985492,6230,1,2,109900.0,0,2.0,119.0,4,False,False,False,0.0,False,0.0,45.0,2.0,False,3,Thiméon,PONT-À-CELLES,Hainaut,b'Wallonie'
5089,8985492,6230,1,2,109900.0,0,2.0,119.0,4,False,False,False,0.0,False,0.0,45.0,2.0,False,3,PONT-À-CELLES,PONT-À-CELLES,Hainaut,b'Wallonie'
5090,8985492,6230,1,2,109900.0,0,2.0,119.0,4,False,False,False,0.0,False,0.0,45.0,2.0,False,3,Buzet,PONT-À-CELLES,Hainaut,b'Wallonie'
5091,8985492,6230,1,2,109900.0,0,2.0,119.0,4,False,False,False,0.0,False,0.0,45.0,2.0,False,3,Viesville,PONT-À-CELLES,Hainaut,b'Wallonie'
5092,8985492,6230,1,2,109900.0,0,2.0,119.0,4,False,False,False,0.0,False,0.0,45.0,2.0,False,3,Obaix,PONT-À-CELLES,Hainaut,b'Wallonie'
5093,8693763,6880,1,16,115000.0,0,2.0,127.0,5,False,False,True,40.0,False,0.0,88.0,2.0,False,1,Cugnon,BERTRIX,Luxembourg,b'Wallonie'
5094,8693763,6880,1,16,115000.0,0,2.0,127.0,5,False,False,True,40.0,False,0.0,88.0,2.0,False,1,Orgeo,BERTRIX,Luxembourg,b'Wallonie'
5095,8693763,6880,1,16,115000.0,0,2.0,127.0,5,False,False,True,40.0,False,0.0,88.0,2.0,False,1,Auby-Sur-Semois,BERTRIX,Luxembourg,b'Wallonie'
5096,8693763,6880,1,16,115000.0,0,2.0,127.0,5,False,False,True,40.0,False,0.0,88.0,2.0,False,1,BERTRIX,BERTRIX,Luxembourg,b'Wallonie'
5097,8693763,6880,1,16,115000.0,0,2.0,127.0,5,False,False,True,40.0,False,0.0,88.0,2.0,False,1,Jehonville,BERTRIX,Luxembourg,b'Wallonie'
5098,8924188,6983,1,2,115000.0,0,4.0,141.0,0,False,False,False,0.0,True,229.0,229.0,3.0,False,2,Ortho,LA ROCHE-EN-ARDENNE,Luxembourg,b'Wallonie'
5099,8942626,7331,1,2,115000.0,0,2.0,129.0,4,False,False,True,42.0,False,0.0,575.0,3.0,False,3,Baudour,SAINT-GHISLAIN,Hainaut,b'Wallonie'
5100,9006900,4460,1,2,117500.0,0,4.0,196.0,4,False,False,True,18.0,True,100.0,245.0,2.0,False,3,Horion-Hozémont,GRÂCE-HOLLOGNE,Liège,b'Wallonie'
5101,9006900,4460,1,2,117500.0,0,4.0,196.0,4,False,False,True,18.0,True,100.0,245.0,2.0,False,3,Velroux,GRÂCE-HOLLOGNE,Liège,b'Wallonie'
5102,9006900,4460,1,2,117500.0,0,4.0,196.0,4,False,False,True,18.0,True,100.0,245.0,2.0,False,3,Grâce-Berleur,GRÂCE-HOLLOGNE,Liège,b'Wallonie'
5103,9006900,4460,1,2,117500.0,0,4.0,196.0,4,False,False,True,18.0,True,100.0,245.0,2.0,False,3,Bierset,GRÂCE-HOLLOGNE,Liège,b'Wallonie'
5104,9006900,4460,1,2,117500.0,0,4.0,196.0,4,False,False,True,18.0,True,100.0,245.0,2.0,False,3,GRÂCE-HOLLOGNE,GRÂCE-HOLLOGNE,Liège,b'Wallonie'
5105,9006900,4460,1,2,117500.0,0,4.0,196.0,4,False,False,True,18.0,True,100.0,245.0,2.0,False,3,Hollogne-Aux-Pierres,GRÂCE-HOLLOGNE,Liège,b'Wallonie'
5106,8952509,4800,1,2,119500.0,0,3.0,115.0,4,False,False,True,8.0,False,0.0,60.0,2.0,False,3,Ensival,VERVIERS,Liège,b'Wallonie'
5107,8952509,4800,1,2,119500.0,0,3.0,115.0,4,False,False,True,8.0,False,0.0,60.0,2.0,False,3,VERVIERS,VERVIERS,Liège,b'Wallonie'
5108,8952509,4800,1,2,119500.0,0,3.0,115.0,4,False,False,True,8.0,False,0.0,60.0,2.0,False,3,Lambermont,VERVIERS,Liège,b'Wallonie'
5109,8952509,4800,1,2,119500.0,0,3.0,115.0,4,False,False,True,8.0,False,0.0,60.0,2.0,False,3,Polleur,VERVIERS,Liège,b'Wallonie'
5110,8952509,4800,1,2,119500.0,0,3.0,115.0,4,False,False,True,8.0,False,0.0,60.0,2.0,False,3,Petit-Rechain,VERVIERS,Liège,b'Wallonie'
5111,8925021,4050,1,2,120000.0,0,3.0,113.0,4,False,False,True,20.0,False,0.0,58.0,2.0,False,4,CHAUDFONTAINE,CHAUDFONTAINE,Liège,b'Wallonie'
5112,8963973,4032,1,2,120000.0,0,2.0,90.0,3,False,False,True,30.0,False,0.0,380.0,3.0,False,2,Chênée,LIÈGE,Liège,b'Wallonie'
5113,9008700,6043,1,2,120000.0,0,2.0,130.0,3,False,False,True,0.0,True,1300.0,1400.0,3.0,False,4,Ransart,CHARLEROI,Hainaut,b'Wallonie'
5114,8741321,7333,1,2,120000.0,0,3.0,125.0,4,False,False,False,0.0,True,167.0,212.0,2.0,False,2,Tertre,SAINT-GHISLAIN,Hainaut,b'Wallonie'
5115,8742955,6630,1,2,125000.0,0,5.0,209.0,3,False,False,False,0.0,False,0.0,162.0,2.0,False,4,MARTELANGE,MARTELANGE,Luxembourg,b'Wallonie'
5116,8909597,4000,1,2,127500.0,0,3.0,110.0,0,False,False,True,0.0,True,130.0,230.0,2.0,False,2,Glain,LIÈGE,Liège,b'Wallonie'
5117,8909597,4000,1,2,127500.0,0,3.0,110.0,0,False,False,True,0.0,True,130.0,230.0,2.0,False,2,LIÈGE,LIÈGE,Liège,b'Wallonie'
5118,8909597,4000,1,2,127500.0,0,3.0,110.0,0,False,False,True,0.0,True,130.0,230.0,2.0,False,2,Rocourt,LIÈGE,Liège,b'Wallonie'
5119,8716289,4500,1,2,129000.0,0,3.0,155.0,0,False,False,True,0.0,False,0.0,65.0,2.0,False,2,Tihange,HUY,Liège,b'Wallonie'
5120,8716289,4500,1,2,129000.0,0,3.0,155.0,0,False,False,True,0.0,False,0.0,65.0,2.0,False,2,Ben-Ahin,HUY,Liège,b'Wallonie'
5121,8716289,4500,1,2,129000.0,0,3.0,155.0,0,False,False,True,0.0,False,0.0,65.0,2.0,False,2,HUY,HUY,Liège,b'Wallonie'
5122,8938315,4032,1,2,135000.0,0,3.0,100.0,2,False,False,False,0.0,False,0.0,56.0,2.0,False,2,Chênée,LIÈGE,Liège,b'Wallonie'
5123,8878416,4870,1,2,135000.0,0,3.0,130.0,3,False,False,True,15.0,True,50.0,180.0,3.0,False,3,Fraipont,TROOZ,Liège,b'Wallonie'
5124,8878416,4870,1,2,135000.0,0,3.0,130.0,3,False,False,True,15.0,True,50.0,180.0,3.0,False,3,Forêt,TROOZ,Liège,b'Wallonie'
5125,8878416,4870,1,2,135000.0,0,3.0,130.0,3,False,False,True,15.0,True,50.0,180.0,3.0,False,3,Nessonvaux,TROOZ,Liège,b'Wallonie'
5126,8878416,4870,1,2,135000.0,0,3.0,130.0,3,False,False,True,15.0,True,50.0,180.0,3.0,False,3,TROOZ,TROOZ,Liège,b'Wallonie'
5127,8733468,6762,1,2,135000.0,0,4.0,135.0,4,False,False,True,20.0,False,0.0,245.0,2.0,False,4,Saint-Mard,VIRTON,Luxembourg,b'Wallonie'
5128,8889699,4860,1,2,137500.0,0,3.0,108.0,0,False,False,True,12.0,False,0.0,53.0,3.0,False,2,Wegnez,PEPINSTER,Liège,b'Wallonie'
5129,8889699,4860,1,2,137500.0,0,3.0,108.0,0,False,False,True,12.0,False,0.0,53.0,3.0,False,2,PEPINSTER,PEPINSTER,Liège,b'Wallonie'
5130,8889699,4860,1,2,137500.0,0,3.0,108.0,0,False,False,True,12.0,False,0.0,53.0,3.0,False,2,Cornesse,PEPINSTER,Liège,b'Wallonie'
5131,8927572,6140,1,2,139000.0,0,2.0,120.0,4,False,False,True,0.0,False,0.0,90.0,2.0,False,3,FONTAINE-L'EVÊQUE,FONTAINE-L'EVÊQUE,Hainaut,b'Wallonie'
5132,8963920,4480,1,2,145000.0,0,2.0,104.0,0,False,False,False,0.0,True,335.0,409.0,3.0,False,2,Hermalle-Sous-Huy,ENGIS,Liège,b'Wallonie'
5133,8963920,4480,1,2,145000.0,0,2.0,104.0,0,False,False,False,0.0,True,335.0,409.0,3.0,False,2,ENGIS,ENGIS,Liège,b'Wallonie'
5134,8963920,4480,1,2,145000.0,0,2.0,104.0,0,False,False,False,0.0,True,335.0,409.0,3.0,False,2,Clermont-Sous-Huy,ENGIS,Liège,b'Wallonie'
5135,8963920,4480,1,2,145000.0,0,2.0,104.0,0,False,False,False,0.0,True,335.0,409.0,3.0,False,2,Ehein,ENGIS,Liège,b'Wallonie'
5136,8950313,4100,1,2,149000.0,0,2.0,78.0,0,False,False,True,10.0,True,100.0,185.0,2.0,False,3,SERAING,SERAING,Liège,b'Wallonie'
5137,8950313,4100,1,2,149000.0,0,2.0,78.0,0,False,False,True,10.0,True,100.0,185.0,2.0,False,3,Boncelles,SERAING,Liège,b'Wallonie'
5138,8950444,7370,1,2,147500.0,0,4.0,195.0,4,False,False,False,0.0,False,0.0,120.0,2.0,False,2,Wihéries,DOUR,Hainaut,b'Wallonie'
5139,8950444,7370,1,2,147500.0,0,4.0,195.0,4,False,False,False,0.0,False,0.0,120.0,2.0,False,2,Blaugies,DOUR,Hainaut,b'Wallonie'
5140,8950444,7370,1,2,147500.0,0,4.0,195.0,4,False,False,False,0.0,False,0.0,120.0,2.0,False,2,DOUR,DOUR,Hainaut,b'Wallonie'
5141,8950444,7370,1,2,147500.0,0,4.0,195.0,4,False,False,False,0.0,False,0.0,120.0,2.0,False,2,Elouges,DOUR,Hainaut,b'Wallonie'
5142,8864454,4040,1,2,150000.0,0,3.0,127.0,0,False,False,True,19.0,False,0.0,64.0,2.0,False,3,HERSTAL,HERSTAL,Liège,b'Wallonie'
5143,8901582,4101,1,2,150000.0,0,3.0,120.0,3,False,False,True,25.0,True,110.0,202.0,3.0,False,4,Jemeppe-Sur-Meuse,SERAING,Liège,b'Wallonie'
5144,8978754,7160,1,2,150000.0,0,3.0,130.0,4,False,False,True,27.0,False,0.0,77.0,2.0,False,2,CHAPELLE-LEZ-HERLAIMONT,CHAPELLE-LEZ-HERLAIMONT,Hainaut,b'Wallonie'
5145,8978754,7160,1,2,150000.0,0,3.0,130.0,4,False,False,True,27.0,False,0.0,77.0,2.0,False,2,Godarville,CHAPELLE-LEZ-HERLAIMONT,Hainaut,b'Wallonie'
5146,8978754,7160,1,2,150000.0,0,3.0,130.0,4,False,False,True,27.0,False,0.0,77.0,2.0,False,2,Piéton,CHAPELLE-LEZ-HERLAIMONT,Hainaut,b'Wallonie'
5147,8960086,4800,1,2,153000.0,0,4.0,138.0,3,False,False,False,0.0,True,60.0,176.0,3.0,False,2,Ensival,VERVIERS,Liège,b'Wallonie'
5148,8960086,4800,1,2,153000.0,0,4.0,138.0,3,False,False,False,0.0,True,60.0,176.0,3.0,False,2,VERVIERS,VERVIERS,Liège,b'Wallonie'
5149,8960086,4800,1,2,153000.0,0,4.0,138.0,3,False,False,False,0.0,True,60.0,176.0,3.0,False,2,Lambermont,VERVIERS,Liège,b'Wallonie'
5150,8960086,4800,1,2,153000.0,0,4.0,138.0,3,False,False,False,0.0,True,60.0,176.0,3.0,False,2,Polleur,VERVIERS,Liège,b'Wallonie'
